Key,Description,en,ja
F/A-26B_mfd_flightLog:R2_tooltip,Tooltip for an MFD button.,Scroll Up,スクロールアップ
F/A-26B_mfd_flightLog:R4_tooltip,Tooltip for an MFD button.,Scroll Down,スクロールダウン
F/A-26B_mfd_flightLog:R5_tooltip,Tooltip for an MFD button.,Scroll Bottom,最後へ
F/A-26B_mfd_flightLog:B3_tooltip,Tooltip for an MFD button.,Dump log to file.,ログダンプをファイルへ
dashMissionDisplay_noMissions,Label in the mission objectives display when the current mission has no objectives.,No objectives.,ミッション目標はありません
F/A-26B_mfd_mission:B1,Label for an MFD button (short!).,WPT,
F/A-26B_mfd_mission:B1_tooltip,Tooltip for an MFD button.,Set Waypoint,ウェイポイントセット
F/A-26B_mfd_mission:B3,Label for an MFD button (short!).,NEXT,
F/A-26B_mfd_mission:B3_tooltip,Tooltip for an MFD button.,Next Objective,次の目標へ
F/A-26B_mfd_mission:B5,Label for an MFD button (short!).,PREV,
F/A-26B_mfd_mission:B5_tooltip,Tooltip for an MFD button.,Previous Objective,前の目標へ
F/A-26B_mfd_gpsTgts:T2,Label for an MFD button (short!).,MAP,
F/A-26B_mfd_gpsTgts:T2_tooltip,Tooltip for an MFD button.,Nav Map,ナビマップ
F/A-26B_mfd_gpsTgts:T3,Label for an MFD button (short!).,WPT,
F/A-26B_mfd_gpsTgts:T3_tooltip,Tooltip for an MFD button.,Set Waypoints,ウェイポイントセット
F/A-26B_mfd_gpsTgts:L2_tooltip,Tooltip for an MFD button.,Previous Group,前のグループ
F/A-26B_mfd_gpsTgts:L3_tooltip,Tooltip for an MFD button.,Next Group,次のグループ
F/A-26B_mfd_gpsTgts:B1_tooltip,Tooltip for an MFD button.,Create Group,グループ作成
F/A-26B_mfd_gpsTgts:B2_tooltip,Tooltip for an MFD button.,Delete Group,グループ削除
F/A-26B_mfd_gpsTgts:B4_tooltip,Tooltip for an MFD button.,Delete Target,ターゲット削除
F/A-26B_mfd_gpsTgts:R3_tooltip,Tooltip for an MFD button.,Next Target,次のターゲット
F/A-26B_mfd_gpsTgts:R2_tooltip,Tooltip for an MFD button.,Previous Target,前のターゲット
F/A-26B_mfd_gpsTgts:R1_tooltip,Tooltip for an MFD button.,Toggle Path Mode,経路モード切替
F/A-26B_mfd_gpsTgts:R4_tooltip,Tooltip for an MFD button.,Move Up,上へ
F/A-26B_mfd_gpsTgts:R5_tooltip,Tooltip for an MFD button.,MoveDown,下へ
s_mfdGps_path,MFD GPS page PATH toggle button/label,PATH,経路
F/A-26B_mfd_flyCam:B2,Label for an MFD button (short!).,START,
F/A-26B_mfd_flyCam:B2_tooltip,Tooltip for an MFD button.,Start Camera,カメラスタート
F/A-26B_mfd_flyCam:B3,Label for an MFD button (short!).,END,
F/A-26B_mfd_flyCam:B3_tooltip,Tooltip for an MFD button.,End Camera,カメラ停止
F/A-26B_mfd_flyCam:B1,Label for an MFD button (short!).,VIEW,
F/A-26B_mfd_flyCam:B1_tooltip,Tooltip for an MFD button.,Toggle Preview,プレビュー切替
F/A-26B_mfd_flyCam:R1,Label for an MFD button (short!).,RANDM,
F/A-26B_mfd_flyCam:R1_tooltip,Tooltip for an MFD button.,Toggle Random,ランダム切替
F/A-26B_mfd_flyCam:L3,Label for an MFD button (short!).,FOV:,
F/A-26B_mfd_flyCam:L3_tooltip,Tooltip for an MFD button.,Toggle FOV,FOV切替
F/A-26B_mfd_flyCam:L4,Label for an MFD button (short!).," ",
F/A-26B_mfd_flyCam:L4_tooltip,Tooltip for an MFD button.,Toggle AutoFOV,オートFOV切替
F/A-26B_mfd_flyCam:L5,Label for an MFD button (short!).," ",
F/A-26B_mfd_flyCam:L5_tooltip,Tooltip for an MFD button.,Toggle Audio,オーディオ切替
F/A-26B_mfd_flyCam:R2,Label for an MFD button (short!).,MODE,
F/A-26B_mfd_flyCam:R2_tooltip,Tooltip for an MFD button.,Toggle Cam Mode,カメラモード切替
F/A-26B_mfd_flyCam:R3,Label for an MFD button (short!).,LOOK,
F/A-26B_mfd_flyCam:R3_tooltip,Tooltip for an MFD button.,Toggle Look Mode,ルックモード切替
F/A-26B_mfd_flyCam:R5,Label for an MFD button (short!).," ",
F/A-26B_mfd_flyCam:R5_tooltip,Tooltip for an MFD button.,Toggle Auto-Reset,オートリセット切替
F/A-26B_mfd_flyCam:B5,Label for an MFD button (short!).," ",
F/A-26B_mfd_flyCam:B5_tooltip,Tooltip for an MFD button.,Cycle Reset Time,サイクルリセットタイム
F/A-26B_mfd_flyCam:T3,Label for an MFD button (short!).,SS,
F/A-26B_mfd_flyCam:T3_tooltip,Tooltip for an MFD button.,4K Screenshot,4K スクリーンショット
F/A-26B_mfd_radar:R2,Label for an MFD button (short!).,R+,
F/A-26B_mfd_radar:R2_tooltip,Tooltip for an MFD button.,Range +,範囲を広げる
F/A-26B_mfd_radar:R3,Label for an MFD button (short!).,R-,
F/A-26B_mfd_radar:R3_tooltip,Tooltip for an MFD button.,Range -,範囲を狭める
F/A-26B_mfd_radar:R4,Label for an MFD button (short!).,MODE,
F/A-26B_mfd_radar:R4_tooltip,Tooltip for an MFD button.,Toggle Mode,モード切替
F/A-26B_mfd_radar:B1,Label for an MFD button (short!).,CLR,
F/A-26B_mfd_radar:B1_tooltip,Tooltip for an MFD button.,Clear Tracks,トラッキング解除
F/A-26B_mfd_radar:B2,Label for an MFD button (short!).,UNLCK,
F/A-26B_mfd_radar:B2_tooltip,Tooltip for an MFD button.,Unlock,アンロック
F/A-26B_mfd_radar:B5_tooltip,Tooltip for an MFD button.,Scan Angle,スキャン角度
F/A-26B_mfd_radar:T5,Label for an MFD button (short!).,SOI,
F/A-26B_mfd_radar:T5_tooltip,Tooltip for an MFD button.,Sensor of Interest,SOI（この画面を操作対象にする）
F/A-26B_mfd_radar:L2_tooltip,Tooltip for an MFD button.,Track 1,
F/A-26B_mfd_radar:L3_tooltip,Tooltip for an MFD button.,Track 2,
F/A-26B_mfd_radar:L4_tooltip,Tooltip for an MFD button.,Track 3,
F/A-26B_mfd_radar:L5_tooltip,Tooltip for an MFD button.,Track 4,
F/A-26B_mfd_antiRad:T5,Label for an MFD button (short!).,SOI,
F/A-26B_mfd_antiRad:T5_tooltip,Tooltip for an MFD button.,Sensor of Interest,SOI（この画面を操作対象にする）
F/A-26B_mfd_antiRad:R4,Label for an MFD button (short!).,HUD,
F/A-26B_mfd_antiRad:R4_tooltip,Tooltip for an MFD button.,HUD Mode,HUDモード
F/A-26B_mfd_antiRad:R5_tooltip,Tooltip for an MFD button.,Declutter,HUDの表示を簡略化
F/A-26B_mfd_gameMenu:B2,Label for an MFD button (short!).,RESTART,
F/A-26B_mfd_gameMenu:B2_tooltip,Tooltip for an MFD button.,Restart Mission,ミッションリスタート
F/A-26B_mfd_gameMenu:B4,Label for an MFD button (short!).,EXIT,
F/A-26B_mfd_gameMenu:B4_tooltip,Tooltip for an MFD button.,Return to Main,メイン画面に戻る
F/A-26B_mfd_gameMenu:R2,Label for an MFD button (short!).,CENTER,
F/A-26B_mfd_gameMenu:R2_tooltip,Tooltip for an MFD button.,Recenter Seat,シート位置リセット
F/A-26B_mfd_gameMenu:L3,Label for an MFD button (short!).,QSAVE,
F/A-26B_mfd_gameMenu:L3_tooltip,Tooltip for an MFD button.,Quick Save Menu,クイックセーブメニュー
vpdt_MFDRecenterText,[xxx] tags will be replaced by platform specific controls. Keep them.,"Sit comfortably
and press
[menu]
to recenter","シートに正しく座って
VRコントローラーの
メニューボタンを
押すとリセットされます"
F/A-26B_mfd_quicksave:L3_tooltip,Tooltip for an MFD button.,Save,
F/A-26B_mfd_quicksave:B4_tooltip,Tooltip for an MFD button.,Load,
F/A-26B_mfd_quicksave:T5,Label for an MFD button (short!).,BACK,
F/A-26B_mfd_quicksave:T5_tooltip,Tooltip for an MFD button.,Back,
F/A-26B_mfd_cmsPage:L4_tooltip,Tooltip for an MFD button.,Release Mode,リリースモード
F/A-26B_mfd_cmsPage:B2,Label for an MFD button (short!).,-,
F/A-26B_mfd_cmsPage:B2_tooltip,Tooltip for an MFD button.,- Release Rate,リリース率 -
F/A-26B_mfd_cmsPage:B4,Label for an MFD button (short!).,+,
F/A-26B_mfd_cmsPage:B4_tooltip,Tooltip for an MFD button.,+ Release Rate,リリース率 +
F/A-26B_mfd_map:T2,Label for an MFD button (short!).,GPS,
F/A-26B_mfd_map:T2_tooltip,Tooltip for an MFD button.,GPS Targets,GPSターゲット
F/A-26B_mfd_map:R2,Label for an MFD button (short!).,ZOOM+,
F/A-26B_mfd_map:R3,Label for an MFD button (short!).,ZOOM-,
F/A-26B_mfd_map:R4,Label for an MFD button (short!).,UP,
F/A-26B_mfd_map:R5,Label for an MFD button (short!).,DOWN,
F/A-26B_mfd_map:B4,Label for an MFD button (short!).,LEFT,
F/A-26B_mfd_map:B5,Label for an MFD button (short!).,RIGHT,
F/A-26B_mfd_map:R1,Label for an MFD button (short!).,RESET,
F/A-26B_mfd_map:R1_tooltip,Tooltip for an MFD button.,Reset Offset,オフセットリセット
F/A-26B_mfd_map:T4,Label for an MFD button (short!).,MODE,
F/A-26B_mfd_map:T4_tooltip,Tooltip for an MFD button.,Toggle Rotation Mode,ローテーションモード切替
F/A-26B_mfd_map:T5,Label for an MFD button (short!).,SOI,
F/A-26B_mfd_map:T5_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,SOI（この画面を操作対象にする）
F/A-26B_mfd_map:L4,Label for an MFD button (short!).,FUEL,
F/A-26B_mfd_map:L4_tooltip,Tooltip for an MFD button.,Set Fuel Waypoint,燃料ウェイポイントセット
F/A-26B_mfd_map:L3,Label for an MFD button (short!).,RTB,
F/A-26B_mfd_map:L3_tooltip,Tooltip for an MFD button.,Set Return to Base Waypoint,RTBウェイポイントセット
F/A-26B_mfd_map:L2,Label for an MFD button (short!).,OBJ,
F/A-26B_mfd_map:L2_tooltip,Tooltip for an MFD button.,Set Objective Waypoint,目標ウェイポイントセット
F/A-26B_mfd_map:B1,Label for an MFD button (short!).,ALT-,
F/A-26B_mfd_map:B1_tooltip,Tooltip for an MFD button.,Lower Target Alt,目標高度を下げる
F/A-26B_mfd_map:B2,Label for an MFD button (short!).,ALT+,
F/A-26B_mfd_map:B2_tooltip,Tooltip for an MFD button.,Raise Target Alt,目標高度を上げる
F/A-26B_mfd_map:B3,Label for an MFD button (short!).,GPS-S,
F/A-26B_mfd_map:B3_tooltip,Tooltip for an MFD button.,Send GPS Target,GPSターゲットを一覧に登録
commReply_s_comm_reply,A text reply in the communications menu.,REPLY:,
commReply_s_noHostilesFound,A text reply in the communications menu.,No hostiles found.,敵は見つからない
commReply_s_awacsNotReady,A text reply in the communications menu.,AWACS is not ready to report.,早期警戒機（AWACS）の準備ができていません
commReply_s_noAwacsAvailable,A text reply in the communications menu.,No AWACS available,利用可能な早期警戒機（AWACS）がいません
commReply_s_awacsPicRequested,A text reply in the communications menu.,AWACS picture requested,AWACSへ戦場の情報をリクエスト
commReply_s_awacsRequestedRTB,A text reply in the communications menu.,Requested RTB vector from AWACS,AWACSへRTBの方位をリクエスト
s_hostile,Prefix for AWACS bogey dope response,Hostile,敵の情報
commReply_s_rearmingNotAvailable,A text reply in the communications menu.,Rearming not available.,改装はできません
commReply_s_notAtRearmingStation,A text reply in the communications menu.,Not at a rearming station. Return to base.,再装備ステーションではありません。ベースに戻ってください。
commReply_s_turnOffEngines,A text reply in the communications menu.,Please turn off your engines.,エンジンを切ってください。
commReply_s_disarmWeapons,A text reply in the communications menu.,Please disarm your weapon system.,武器システムをオフにしてください。
commReply_s_unhookTailhook,A text reply in the communications menu.,Please disengage your arrestor hook.,アレスティングフックを収納してください。
commReply_s_rearmPointOccupied,A text reply in the communications menu.,This station is occupied!,ここのステーションはいっぱいです！
commReply_s_taxiToRearm,A text reply in the communications menu.,Please taxi to a rearming station.,再装備ステーションにタキシングしてください。
commReply_s_wingmenBusy,A text reply in the communications menu.,Your wingmen are busy.,僚機はビジーのため応答できません。
commReply_s_someWingmenBusy,A text reply in the communications menu.,Some of your wingmen are busy.,僚機はビジーのため応答できません。
commReply_s_noWingmen,A text reply in the communications menu.,You have no wingmen.,僚機はいません。
commReply_s_wingmenOrbiting,A text reply in the communications menu.,Wingmen orbiting here.,僚機は周回待機しています。
commReply_s_wingmenEngaging,A text reply in the communications menu.,Wingmen engaging targets at will!,僚機は自由にターゲットを攻撃します！
commReply_s_wingmenDisengaging,A text reply in the communications menu.,Wingmen disengaging from combat!,僚機は戦闘離脱しました！
commReply_s_wingmenFormationSpread,A text reply in the communications menu.,Wingmen setting formation spread.,僚機はフォーメーションの間隔を調整します。
commReply_s_wingman,A text reply in the communications menu.,Wingman,僚機
commReply_s_attackingTSD,A text reply in the communications menu.,attacking your TSD target!,TSDターゲットを攻撃！
commReply_s_attackingRadar,A text reply in the communications menu.,attacking your radar target!,レーダーターゲットを攻撃！
commReply_s_attackingTGP,A text reply in the communications menu.,attacking your TGP target!,TGPターゲットを攻撃！
commReply_s_attackingARAD,A text reply in the communications menu.,attacking your ARAD target!,ARADターゲットを攻撃！
commReply_s_noWingmenForAttack,A text reply in the communications menu.,No wingmen available for attack.,攻撃可能な僚機がいません。
commReply_s_noTarget,A text reply in the communications menu.,No target selected.,ターゲットが選択されていません。
commReply_s_noAirfield,A text reply in the communications menu.,No airfield available.,利用可能な空港はありません。
commReply_s_cancellingATC,A text reply in the communications menu.,Cancelling ATC request.,ATCリクエストをキャンセル
commReply_s_acknowledged,A text reply in the communications menu.,Acknowledged,受信
commReply_s_wingmenRTB,A text reply in the communications menu.,Your wingmen will RTB!,僚機は帰投します！
commReply_s_clearedVerticalLanding,A text reply in the communications menu.,Cleared for vertical landing!,垂直着陸が可能です！
commReply_s_clearedVerticalTakeoff,A text reply in the communications menu.,Cleared for vertical take off!,垂直離陸可能！
commReply_s_landingDenied,A text reply in the communications menu.,Landing denied!,着陸拒否されました!
commReply_s_takeoffDenied,A text reply in the communications menu.,Take off denied!,離陸拒否されました!
commReply_s_reply_noPrevAtc,A text reply in the communications menu.,No previously contacted ATC available.,以前に連絡を取ったATCは利用できません。
MFDOptionPage:Wingmen / Combat,Title of an MFD option page,Wingmen / Combat,僚機／戦闘
MFDOption:Attack Target,Label of an MFD option,Attack Target,攻撃目標
MFDOption:Disengage,Label of an MFD option,Disengage,戦闘離脱
MFDOption:Engage,Label of an MFD option,Engage,戦闘開始
MFDOptionPage:Wingmen / Flight,Title of an MFD option page,Wingmen / Flight,僚機／フライト
MFDOption:Orbit Here,Label of an MFD option,Orbit Here,旋回待機
MFDOption:Form Up,Label of an MFD option,Form Up,部隊復帰
MFDOption:Spread Close,Label of an MFD option,Spread Close,間隔　近く
MFDOption:Spread Med,Label of an MFD option,Spread Med,間隔　中間
MFDOption:Spread Far,Label of an MFD option,Spread Far,間隔　遠く
MFDOption:Go Refuel,Label of an MFD option,Go Refuel,給油に向かえ
MFDOption:RTB,Label of an MFD option,RTB,
MFDOption:RTB & Re-arm,Label of an MFD option,RTB & Re-arm,基地に戻り再装備
MFDOptionPage:Wingmen / Equipment,Title of an MFD option page,Wingmen / Equipment,僚機／装備
MFDOption:Radar On,Label of an MFD option,Radar On,レーダー ON
MFDOption:Radar Off,Label of an MFD option,Radar Off,レーダー OFF
MFDOptionPage:Wingmen,Title of an MFD option page,Wingmen,僚機
MFDOption:Combat,Label of an MFD option,Combat,戦闘
MFDOption:Flight,Label of an MFD option,Flight,飛行
MFDOption:Equipment,Label of an MFD option,Equipment,装備
MFDOptionPage:Ground Crew,Title of an MFD option page,Ground Crew,地上クルー
MFDOption:Request Re-arm,Label of an MFD option,Request Re-arm,再装備リクエスト
MFDOptionPage:ATC,Title of an MFD option page,ATC,
MFDOption:Take Off,Label of an MFD option,Take Off,テイクオフ
MFDOption:Landing,Label of an MFD option,Landing,ランディング
MFDOption:Cancel Request,Label of an MFD option,Cancel Request,リクエスト取消
MFDOption:Vert T/O,Label of an MFD option,Vert T/O,垂直テイクオフ
